乘隙 顺便
喜悦 夷愉
只消 只要
五谷丰登 六畜兴旺
东偷西摸 小偷小摸
允诺 愿意
无力 虚弱
谄谀 逢迎
典范 楷模
回忆 追思
取长补短 扬长避短
查询 盘查
六神无主 心惊胆战
光阴 年光
视如敝屣 视如草芥
大败亏输 损兵折将
浑浑噩噩 混混沌沌
不以为然 置若罔闻
厄运 恶运
常规 老例
痕迹 踪迹
孤苦伶仃 形影单只
不知去向 杳无消息
退藏 隐匿
黑呼呼 黑洞洞
主流 合流
佐治 助理
住客 租户
半死不活 萎靡不振
观察 观看
布衣蔬食 布被瓦器
云合雾集 云合雾集
乞请 恳求
嵬峨 高峻
阻挠 阻滞
亘古未有 空前绝后
急忙 赶紧
防微杜渐 防患未然
名不虚传 当之无愧
咒骂 詈骂
花天酒地 风花雪夜
权衡利弊 权衡轻重
燕颔儒生 燕颔虎须
时过境迁 物是人非
捕获 缉捕
偃武修文 卖剑买牛
华丽 雄壮
解说 诠释
接踵而至 接连不断
一般 凡是
口如悬河 口若悬河
穷苦 贫寒
充实 厚实
迷濛 迷茫
工力悉敌 平分秋色
情同手足 良师益友
党首 首脑
瞎三话四 瞎说八道
琴瑟不调 琴瑟失调
冰天雪窖 滴水成冰
搬家 迁居
入不敷出 捉襟见肘
服从 遵守
挫折 磨难
咨询 接头
昭雪 雪冤
平和 平易
坦然 安心
巷尾街头 街头巷底
少有 少见
露宿风餐 餐风饮露
光华 光彩
换取 换得
快乐 欢快
人云亦云 矮子看戏
励戈秣马 厉兵粟马
全神贯注 收视返听
忸怩作态 惺惺作态
刀耕火种 火耨刀耕
完结 已矣
安之若素 少安勿躁
改弦易张 改弦易调
支配 驾驭
征兆 预兆
放纵 肆意
巧言令色 花言巧语
分明 显着
骄侈暴佚 骄奢淫佚
转动 转化
声势 声威
宇宙 寰宇
窒塞 窒碍
炯炯有神 目光如炬
先河 发轫
批判 批驳
房钱 租金
摆布 摆布
刻鹄类鹜 刻鹄类鹜
兵力 军力
原形毕露 图穷匕首见
刚正不阿 奉公不阿
不务正业 不堪造就
追风蹑影 追风蹑景
千虑一得 引玉之砖
得意扬扬 称心如意
放胆 甩手
烦琐 琐碎
到差 就职
书牍 尺牍
原意 愉快
过河拆桥 鸟尽弓藏
溯流穷源 溯源穷流
灵机一动 随机应变
摇晃 晃荡
按兵不动 神出鬼没
并肩作战 并肩战斗
政绩 治绩
不快 烦懑
聚集 集会
悲伤 辛酸
不即不离 半推半就
吉凶莫测 存亡未卜
目不斜视 聚精会神
和善 柔顺
办法 步骤
原形毕露 本相毕露
击毙 枪毙
碰劲 碰巧
保存 保留
先导 先河
屯子 村落
差错 舛误
有容乃大 诟如不闻
兴旺发达 枝繁叶茂
团结 联合
蠢蠢欲动 跃跃欲试
任劳任怨 任怨任劳
手不释卷 百读不厌
清亮 清澈
不绝如缕 危如累卵
彷徨 盘桓
忧伤 惆怅
先兆 前兆
动人心弦 扣人心弦
喜好 喜爱
收敛 约束
分道扬镳 南辕北撤
外地 当地
不苟言笑 正言厉色
强暴 强横
沙滩 海滩
洋洋自得 自鸣得意
当前 目前
精细 细密
兴师动众 行师动众
中断 中止
洗心革面 脱胎换骨
消融 融化
敬佩 敬爱
宽大为怀 网开一面
漠视 鄙视
局势 时局
摇摇晃晃 晃晃悠悠
厚禄高官 高官厚禄
不过如此 不过尔尔
一望可知 蛛丝马迹
歌咏 颂扬
映入眼帘 触目皆是
降尊临卑 降贵纡尊
假造 杜撰
洽商 洽谈
决心 决意
可惜 痛惜
奸滑 险诈
单位 单元
派别 流派
碰着 遭遇
斩草除根 赶尽杀绝
功勋 功绩
照料 看护
挥舞 摇动
秦楼楚馆 青楼楚馆
减削 节俭
奉承 逢迎
干戈 打仗
容光焕发 高视睨步
溃败 溃逃
口如悬河 夸夸其谈
夸耀 炫夸
远眺 遥望
老态龙钟 老迈龙钟
拉家带口 拖儿带女
轶事 遗闻
心神不定 意马心猿
一水之隔 一衣带水
优待 宠遇
情深义重 深情厚谊
中止 遏制
提升 提拔
繁荣 郁勃
金口御言 金口玉言
同砚 同窗
金碧辉煌 雕栏玉砌
威胁 恫吓
妄自菲薄 自怨自艾
经久不息 经年累月
外表 外貌
招抚 讲和
敬重 爱戴
蓦地 陡然
埋葬 掩埋
积压 积存
物品 礼物
提防 防御
军舰 战船
磨炼 训练
 刚劲有力 铿锵有力
引申 推行
低声密谈 窃窃私语
全始全终 始终如一
相宜 适合
面善 面熟
疑义 疑问
冷傲 冷淡
弥漫 笼罩
影响 陶染
开刀 开发
肮脏 邋遢
轻狂 轻薄
熟视无睹 非亲非故
刷新 鼎新
知己 至友
慷慨就义 慷慨捐生
缺乏 贫乏
悲啼 痛哭
富强 茂盛
地动山摇 震天动地
无所适从 莫衷一是
胆破心寒 胆破心惊
摈弃 赶走
动员 启发
暴戾恣睢 横行霸道
不着边际 空洞无物
混乱 烦躁
斟酌 研究
多如牛毛 泛滥成灾
褫职 革职
放肆 落拓
一差两讹 一差二错
明了 知道
劈荆斩棘 斩荆披棘
要点 重点
纷乱 零乱
探究 考虑
另楚寒巫 牛郎织女
原封不动 维持原状
坚固 扎实
正告 警告
忘却 忘怀
战无不克 战无不胜
平日 平时
探求 追究
凛如霜雪 凛若冰霜
拒绝 推迟
祁奚之举 祁奚之荐
水火之中 火热水深
有目共睹 有目共见
咨询 接洽
克敌制胜 直捣黄龙
怯生生 恐惧
歌颂 讴歌
神思恍惚 神魂颠倒
外刚内柔 外强中干
春风得意 趾高气扬
取之不尽用之不竭 源源不断
昌盛 焕发
梗直 高洁
仁爱 温和
缉捕 逮捕
体魄 肉体
移时 须臾
培育 提拔
波折 阻碍
一息尚存 奄奄一息
奢侈 虚耗
丰姿冶丽 绰约多姿
困苦 干瘦
周详 详尽
倏然 忽然
安营 扎营
相同 类似
刚巧 恰恰
腰围 腰身
住宅 室庐
十足 实足
积铢累寸 铢积寸累
争光 争气
寻求 探索
惊慌失措 手足无措
任劳任怨 吃苦耐劳
教员 教练
三番五次 屡次三番
鞭辟入里 鞭辟着里
权利 权利
冷遇 怠慢
人非木石 身非木石
荒凉 萧条
心如刀绞 肝肠寸断
灿烂 秀丽
七步成诗 五步成诗
泥首 顿首
出国 出洋
伐毛洗髓 洗髓伐毛
式样 形势
显达 贵显
精明 耀眼
纯熟 练习
书信 竹简
后生可畏 大器晚成
安顿 布置
切记 牢记
参差不齐 温凉不等
娇娆 美丽
执笔 握管
联珠 顶真
坐收渔利 渔人得利
奇谈怪论 胡言乱语
估中 猜中
和蔼 讲理
标记 记号
懦夫 胆小鬼
三心两意 朝秦暮楚
丈人 岳父
堕落 沉沦
愁眉苦脸 黯然神伤
震悚 震惊
人多嘴杂 众口纷纭
信口开河 心直口快
中的 华厦
危于累卵 岌岌可危
协作 合营
六出奇计 出奇制胜
严密 稹密
久梦乍回 如梦初醒
恨相知晚 恨相见晚
歌颂 称道
入情入理 言之成理
漏网之鱼 漏网游鱼
估算 预算
消弭 消灭
成千上万 成千成万
坚苦 辛勤
至交 至好
富丽 斑斓
免除 受命
云尔 而已
偏幸 偏心
赫赫有名 远近闻名
广阔 空阔
好事多磨 好梦难成
巨头 巨子
用心 经心
主旨 重心
穷乡僻壤 荒郊野外
残暴 粗暴
公开 公然
失败 铩羽
致歉 陪罪
挨家 挨门
文章山斗 文章魁首
失言 食言
琴瑟之好 鸾凤和鸣
茂盛 蕃昌
看风使舵 见机而作
借古讽今 指桑骂槐
步伐 程序
了解 探听
任意 恣意
天衣无缝 白玉无瑕
讴歌 赞扬
众说纷纭 街谈巷议
夭折 短寿
浮滑 轻浮
华丽 豪华
欢娱 沸腾
计划 谋划
意得志满 踌躇满志
崴蕤 旖旎
小看 忽视
早出晚归 起早贪黑
明了 通晓
一文不名 一无所有
功成名就 功成名遂
摇尾乞怜 摇尾乞食
各持己见 独持异议
等闲之辈 芸芸众生
恶人 歹徒
储藏 埋藏
故障 窒碍
接连不断 连三接二
坑绷拐骗 坑蒙拐骗
鲁戈挥日 鲁阳挥戈
四海为家 居无定所
部署 铺排
想象 联想
甘雨 甘霖
梦想 空想
反复 频频
光前裕后 光宗耀祖
急脉缓受 急脉缓灸
光泽 明后
合上 合拢
商议 计划
就地取材 本山取土
成仁取义 杀身成仁
誊写 重写
好想 相仿
移玉 驾临
开航 起程
弱点 缺点
接受 接管
挽救 援救
幽囚 拘押
休养 治疗
恩深义重 恩重如山
大公无私 天公地道
消耗 耗损
运乖时蹇 运蹇时乖
分路扬镳 分道扬镳
名公巨卿 达官贵人
别辟蹊径 标新立异
警告 警备
凝滞 结巴
冷静 平和
年久月深 年深月久
进击 进攻
含混 蒙胧
井蛙之见 鼠目寸光
争吵 叫嚣
巧舌如簧 鼓唇弄舌
亲昵 密切
坐以待毙 山穷水尽
凄凉 悲凉
征集 搜集
乌黑 黧黑
从容不迫 满不在乎
体无完肤 支离破碎
纡朱拖紫 纡青拖禁
传布 散步
两败俱伤 鸡飞蛋打
作古 牺牲
宜室宜家 宜家宜室
收拾 整理
同德同心 同心同德
奇怪 奇特
生龙活虎 龙马精神
更改 调换
依样葫芦 葫芦依样
恶果 效率
成绩 效果
白衣公卿 白衣卿相
挑战 搦战
亡命 隐迹
半壁江山 山河破碎
书页 册页
儿女夫妻 结发夫妻
亲如手足 情同手足
丛山峻岭 崇山峻岭
毅力 顽强
功亏一篑 半涂而废
手本 抄本
教化 陶染
合情合理 情有可原
前景未卜 前途未卜
博采众长 群策群力
废除 根除
出生入死 奋不顾身
声调 腔调
团结 联络
六神无主 盲人摸象
孤陋寡闻 蠡酌管窥
生龙活虎 龙精虎猛
得意洋洋 飘飘欲仙
侍奉 服侍
袭击 进击
原宥 饶恕
凿凿 确凿
恋人 爱人
止痛药 麻醉剂
开垦 开采
囚系 拘押
收买 进货
兽类 禽兽
轻口薄舌 轻嘴薄舌
中止 中辍
丢掉 甩掉
无为而治 无为自化
与日俱增 日新月异
朝三暮四 见异思迁
闭塞 阻塞
尘羹涂饭 尘饭涂羹
寻找 探索
传布 传播
俯拾即是 触目皆是
厚道 宽忠
切确 精确
游乐 游玩
苦战 血战
灵动 灵敏
互助 配合
手疾眼快 眼明手快
不甘后人 力争上游
见死不救 见溺不救
介意 当心
结实 踏实
月俸 月薪
亵衣 汗衫
偷梁换柱 批红判白
卧虎藏龙 地灵人杰
不可企及 瞠乎其后
从谏如流 闻过则喜
有口皆碑 雅俗共赏
和善 和婉
忘恩负义 过河抽板
地方 处所
招事惹非 招是惹非
老例 通例
成果 成绩
分裂 割裂
霜露之思 霜露之感
惊讶 惊讶
犯忌 犯讳
卸磨杀驴 得鱼忘筌
不屑一顾 掉以轻心
暗淡 黯淡
弄虚作假 粉饰太平
会意 领会
八花九裂 千疮百孔
核对 核查
相称 相等
转折 转机
充塞 充满
创造 独创
水乳交融 难分难解
深切 真切
虚有其表 鱼质龙文
协助 扶助
卤莽 粗暴
公子哥儿 公子王孙
发端 开端
增强 巩固
以为 认为
损人利己 损人益己
创立 建设
贬价 降价
捱三顶五 捱三顶四
滂沱 滂湃
任人唯贤 选贤举能
讯问 询问
他日 未来
怯懦 怯生生
把握 驾御
完全 通盘
刁滑 狡黠
包涵 饶恕
有声有色 活灵活现
嘉言善状 嘉言懿行
安定 安祥
交战 交手
娇娆 柔媚
悉数 整个
泄露 透露
舛错 谬误
敬重 热爱
六神无主 神不守舍
技巧 方法
平宁 幽静
特殊 迥殊
早晨 清晨
耳边风 马耳东风
幻想 逸想
古道 忠实
奇幻 魔幻
聚合 荟萃
规则 规矩
相连 连结
决一胜负 决一雌雄
富丽堂皇 美轮美奂
孜孜不息 孜孜无怠
挞伐 诛讨
人多势众 众人拾柴火焰高
养痈贻患 养虎遗患
吵闹 吵闹
义薄云天 正气凛然
光明磊落 冰清玉洁
单子 票据
走卒 走狗
医治 调治
举棋不定 当断不断
披星戴月 栉风沐雨
光阴 韶光
抒发 表达
借风使船 见风使舵
丰富 丰裕
变废为宝 物尽其用
八面威风 英姿飒爽
拿三搬四 装模作样
冲击 障碍
兵败如山倒 如鸟兽散
发展 发扬
轻口轻舌 轻嘴薄舌
吞吞吐吐 含混其词
属下 部下
片瓦不存 片瓦无存
界限 畛域
扯顺风旗 顺水推舟
改正 革新
体验 领悟
心急火燎 迫不及待
嘻皮笑脸 插科打诨
同心协力 同心叶力
对消 抵消
政策 策略
应允 承若
挖苦 讥刺
亏得 幸亏
主张 主见
偏僻 安静
含情脉脉 脉脉含情
论述 阐发
乔妆 改扮
无所顾忌 肆无忌惮
惊异 骇怪
贻误 阻误
仪表 面目
断瓦残垣 残垣断壁
大户 朱门
恼恨 愤恨
广阔天地 海阔天空
名垂青史 流芳百世
义愤填膺 拍案而起
逼近 靠近
俗气 平凡
狂妄 肆意
烦懑 纳闷
八斗之才 八斗陈思
分离 折柳
失魂落魄 跟魂不守舍
痛苦 祸患
岳立 挺立
心胆俱裂 惊恐万状
伙伴 同伙
反面 后面
猜度 猜测
明朗 爽朗
扫除 解除
争名夺利 争强好胜
朴素 素净
刀耕火种 刀耕火耨
温凉不等 良莠不齐
装潢 装饰
望子成龙 老牛舐犊
痛快 舒服
惊慌 惶恐
总练名实 综核名实
少女怀春 情窦初开
五洲四海 五湖四海
土崩瓦解 支离破碎
日薄西山 每况愈下
一成不变 至死不变
冰冷 寒冷
料理 经管
方针 计划
熟手 老手
悲戚 辛酸
噬脐无及 追悔莫及
夜以继日 通宵达旦
嘉话 韵事
义不容辞 见义勇为
消逝 磨灭
田猎 野猎
恋人 情人
鲜为人知 默默无闻
不屑一顾 视如草芥
停滞 阻滞
投合 迎合
卒然 猛然
讨论 谈论
默换潜移 默转潜移
欢天喜地 眉开眼笑
精深 精良
万分 极端
沉湎 沉溺
挖苦 讥嘲
人头攒动 摩肩接踵
杞人忧天 百感交集
傻瓜 呆子
指责 责难
责问 驳诘
接触 来往
同类相求 情投意合
洋蜡 白蜡
巴高望上 攀高结贵
改变 改换
互助 合营
岌岌可危 风雨飘摇
动听 好听
扒窃 盗窃
延颈企踵 延颈跂踵
圈套 骗局
搜罗 网罗
天寒地冻 滴水成冰
哆哆嗦嗦 颤颤巍巍
韬戈偃武 韬戈卷甲
效果 效率
反对 阻挡
魂不附体 魂飞天外
一身是胆 浑身是胆
潜濡默化 潜移默化
一会 半响
奴隶 跟班
果然 的确
厚今薄古 竞今疏古
兴会 兴致
舒服 舒适
扑灭 消亡
照应 照管
觉悟 觉醒
劳力 血汗
盛大 隆重
帆柱 帆樯
轶闻趣事 逸闻趣事
妄图 希冀
乞助 求助
简单 轻易
兴亡 昌盛
旋绕 盘旋
登科 考中
安适 舒适
水滴石穿 积习沉舟
许诺 首肯
堤防 防止
疏弃 荒芜
大模大样 无所忌惮
辞别 阔别
吓唬 威胁
推想 观测
怀想 眷念
思想 想法
仰制 箝制
强暴 野蛮
照应 照顾
苟且 随便
真诚 诚恳
前车之鉴 重蹈覆辙
周密 详尽
吸取 吸收
一噎止餐 因噎废食
转于沟壑 转死沟壑
大公无私 急公好义
扳椽卧辙 攀辕卧辙
深谋远虑 谨小慎微
法令 法律
奸商 市侩
安逸 适意
灰心丧气 自怨自艾
感受 感应
同心同德 同心并力
安定 寂静
没世无闻 默默无闻
赔礼 道歉
亲爱 心爱
言之不详 语焉不详
渔翁之利 田父之获
 乏善可陈
灭亡 骤亡
不变 不改
深邃 神秘
退却 退让
常常 通常
精细 致密
田产 田地
亏心 负心
敲牛宰马 杀猪宰羊
三生有幸 荣幸之至
建设 装备
开心 愉快
万众一心 万全之策
召唤 呼唤
嘴硬 插嗫
日久天长 日久年深
暴政 虐政
事与愿违 壮志未酬
强悍 粗壮
十足 绝对
井底之蛙 辽东豕
坐卧不安 局促不安
估计 计算
余味无穷 意犹未尽
铜墙铁壁 铜山铁壁
局限 范围
后来 自后
苟且 草率
再接再厉 马不停蹄
血债累累 血海深仇
关节 枢纽
唆使 迫使
跟踪 追踪
无思无虑 清心寡欲
贪官污吏 赃官污吏
跟班 追随
蛀虫 蠹虫
和睦 温和
生事 闹事
奋勇向前 马不停蹄
破裂 碎裂
不动声色 若无其事
愚弄 诳骗
欺善怕恶 欺弱怕强
忽地 骤然
微小 眇小
举案齐眉 梁孟相敬
正派 法则
恣肆 放肆
力不能支 缚鸡之力
厚貌深情 厚貌深辞
点头哈腰 诺诺连声
枉费唇舌 白费口舌
茶房 跑堂
接连 衔接
夜阑人静 更深人静
音信 音讯
感喟 感慨
一言为定 一诺千金
不足轻重 无关紧要
克制 压迫
孰不可忍 深恶痛绝
铁画银钩 铁画银钩
打击 抨击
中世 中叶
横眉竖眼 青面獠牙
入乡随俗 随乡入乡
争取 争夺
开心 雀跃
如果 如若
奉上 送上
伉俪 夫妻
偃武修文 天下太平
感化 教养
喷云吐雾 烟雾弥漫
调子 音调
称谢 道谢
嵌入 镶嵌
代劳 代理
尊敬 看重
恰巧 正值
样子 样式
司法 法令
众人周知 众所周知
利索 利落
心狠手辣 狼子野心
刷新 革新
枯杨生华 枯树生花
卒然 蓦然
紊乱 零乱
神色自若 谈笑自若
兴会淋漓 痛快淋漓
千钧一发 迫不及待
甘美 甜蜜
也许 能够
夸奖 称扬
夜以继日 宵衣旰食
安乐 安闲
潮水 潮流
协定 契约
不学而能 生而知之
完结 结果
刚愎自用 固执己见
拈花 绣花
坚定 坚毅
欲壑难填 诛求无已
俭约 质朴
相悖 违背
外交 社交
侵犯 攻击
鞭策 驱策
本相 酒精
本原 来源
从来 向来
解析 认识
包容 容纳
样子 款式
减少 消弱
收场 终场
召集 调集
拖延 迟延
妖魔鬼怪 魑魅魍魉
唆使 煽动
慰劳 请安
十手所指 千人所指
伤害 虐待
支离破碎 瓦解土崩
众寡悬殊 天悬地隔
恐慌 惊慌
滋长 生长
千条万端 千条万缕
慎重 把稳
呕心沥血 用尽心思
激发 鼓舞
尖锐 锋利
荒诞 荒谬
一点 少量
毗连 相接
束手就殪 束手待毙
和煦 温存
防患于未然 防患未然
庇护 珍爱
偷生 贪生
察看 巡视
持之以恒 绳锯木断
一视同仁 天公地道
捉衿露肘 捉襟肘见
贪污舞弊 饮马投钱
兴家立业 成家立业
师傅 师父
对峙 相持
罪孽 罪行
性命交关 性命关天
书生 文士
六尺之孤 六尺之托
华而不实 纸上谈兵
离析涣奔 离析涣奔
依附 依靠
自为 自利
理睬 答应
借刀杀人 借剑杀人
前呼后应 首尾相应
半死不活 精疲力尽
正派 正直
强抢 打劫
出现 发现
低微 卑微
声色俱厉 正颜厉色
摘埴索涂 擿植索涂
思念 顾虑
埋没 隐秘
不休 握住
商榷 商讨
名贵 罕见
登高履危 诚惶诚恐
跋山涉水 远渡重洋
安份守己 安分守己
清廉 耿介
分裂 对抗
绵亘不绝 连绵起伏
停息 停歇
力不从心 无能为力
万念俱灰 灰心丧气
惊惶失措 束手无策
漂荡 飘动
交付 托福
阴沉 黑暗
摆架子 摆款儿
更仆难数 车载斗量
摹本 模本
怪诞 荒唐
斗量车载 漫山遍野
抱愧 抱歉
保养 珍爱
掀动 搬动
停留 耽搁
自尊 自豪
阴曹 阴间
作茧自缚 停滞不前
投机取巧 趁风扬帆
转变 转移
心慌意乱 惊惶失措
会聚 聚积
相连 联贯
返老还童 长生不老
此后 而后
悲伤 悲恸
免强 强迫
气冲牛斗 气吞山河
三反四覆 反复无常
木炭 柴炭
警备 警觉
奢念 奢望
停止 间歇
市井之徒 市井小人
敷衍了事 草草了事
克己奉公 大公无私
丰富 充裕
冷嘲热讽 嬉笑怒骂
仰制 压制
其它 此外
十全十美 精美绝伦
形色 描摹
反攻 紧急
抚掌大笑 欢天喜地
与世无争 循规蹈矩
供应 提供
兽类 畜牲
和蔼 随和
失魂落魄 魂不守舍
回旋 扭转
俭朴 节约
携手 联袂
投机 谋利
安歇 歇息
倏忽 倏然
谈锋 辩才
倔强 坚定
冷风 凉风
不停 连续
漠视 藐视
一刹 片刻
欢欣 欢腾
无边无垠 无边无际
警句 警语
播撒 播种
宽阔 空阔
绿林好汉 绿林豪杰
横行不法 横行霸道
明显 昭彰
罕有 罕见
囚禁 监禁
申明 说明
八斗之才 才高八斗
不法 作歹
折断 撅断
流浪 落难
猜疑 疑忌
困难 穷苦
匪面命之 苦口婆心
转达 通报
旗鼓相当 鼓旗相当
圣人 至人
互换 交换
热爱 爱慕
包容 海涵
含垢忍辱 忍辱负重
望而生畏 视为畏途
召唤 呼吁
周密 细致
用膳 用饭
念念不忘 梦寐不忘
典雅 高雅
扩充 扩张
众目睽睽 光天化日
钳口结舌 闭口不言
空口无凭 铁证如山
平和 平宁
借券 借条
富丽 秀雅
吵架 闹翻
百足不僵 百足之虫
覆巢毁卵 覆巢破卵
结束 遣散
引咎自杀 引咎责躬
宣布 布告
青眼 青睐
和缓 松弛
跌脚搥胸 跌脚搥胸
不慌不忙 神色自若
主圣臣良 主贤臣良
玉液 琼浆
欺压 陵暴
准时 按期
断绝 隔绝
不分彼此 情同手足
依附 倚赖
感情 激情
心怀若谷 谦虚谨慎
厮杀 拼杀
明明 清楚
序论 绪论
大意 大要
只有 唯独
层出不穷 屡见不鲜
出众 超群
龙翔虎跃 龙腾虎跃
欢迎 迎接
粗莽 粗鲁
歌唱 赞美
止戈散马 马放南山
委托 拜托
商号 店肆
彷徨 逗留
白头偕老 百年之好
傍晚 薄暮
急迫 遑急
忘恩负义 过河拆桥
升空 升起
取得 获得
千真万确 毋庸置疑
下属 属员
都会 都邑
捕风捉影 望风捕影
东挪西借 东挪西凑
出其不意 攻其无备
打成一片 浑然一体
强劲 强盛
信用 荣誉
佳 女子
经过 进程
得意洋洋 自鸣得意
伶人 演员
太平 安闲
得不偿失 隋珠弹雀
安乐 高兴
众星拱北 众星拱辰
注释 解说
波动 颠簸
估客 贩子
严密 缜密
运筹决算 运筹演谋
懊丧 颓靡
智慧 机灵
相聚 荟萃
嬉皮笑脸 讪皮讪脸
有如 相似
天分 性格
尺璧寸阴 日月如梭
一帆风顺 一往直前
抄录 摘抄
东张西望 东观西望
正颜厉色 道貌岸然
时易世变 时移世易
魁伟 魁梧
拈轻怕重 避重逐轻
得意扬扬 心满意足
成语 谚语
乐在其中 乐此不疲
抱薪救火 适得其反
赶上 进步
不分轩轾 不分高低
晶体 警备
安步当车 缓步徐行
地方 场所
阴暗 阴郁
寻找 探求
条例 章程
通权达变 随机应变
巴头探脑 窥牖小儿
坦怀相待 开诚布公
居然 果然
断定 确定
血印 血迹
自郐无讥 自郐而下
高大 魁岸
孤单 孤立
会议 领略
无计奈何 无计所奈
杀气腾腾 横眉怒目
打消 撤消
快速 急速
志得意满 洋洋得意
外圆内方 外柔内刚
偶一为之 逢场作戏
仰制 约束
独一无二 独占鳌头
十全十美 浑然一体
仰制 强迫
应接不暇 目不暇接
兴亡 富强
丹心 诚心
旷日持久 旷日长久
宽大 开阔
心心相印 志同道合
名过其实 过甚其实
安危 快慰
成熟 老练
相背而行 适得其反
空手 赤手
原宥 原谅
乡亲 家园
原野 野外
磨炼 锤炼
泰然自若 神色自若
专心致志 抟心揖志
奇怪 稀奇
妥当 适宜
旗帜鲜明 爱憎分明
畅通 通畅
意气轩昂 意气飞扬
悄悄 阒然
战抖 颤栗
排挤 摈斥
极力 竭力
迷离徜仿 迷离惝恍
大巧若拙 大直若屈
客栈 旅馆
丢魂失魄 失魂落魄
怀想 想念
一言九鼎 片言九鼎
心不在焉 神不守舍
指摘 指责
妙手 高手
徒劳 徒然
精明 聪明
百战不殆 百战百胜
白日做梦 白日见鬼
关切 存眷
低声 柔声
因地制宜 随机应变
以前 过去
尺布斗粟 阋墙之争
认识 领悟
会合 聚集
玉律金科 金口玉言
考语 评语
苟安 颓丧
萧洒 飘逸
缓兵之计 金蝉脱壳
洋火 火柴
喧闹 纷扰
血战 鏖战
惊异 惊讶
以牙还牙 针锋相对
承上启下 束上起下
冰消瓦解 土崩瓦解
一仍旧贯 墨守成规
助人为乐 急公好义
听天由命 畏天知命
凶横 暴虐
独力难支 独木难支
启示 开垦
地步 气象
界限 范围
快慰 欣慰
启碇 启航
保养 珍视
大摇大摆 气宇轩昂
憧憬 遐想
义愤 愤激
纠合 聚集
指桑骂槐 隐晦曲折
放浪 狂妄
日不暇给 日夜操劳
推测 料想
追查 追究
灵便 灵活
沥胆披肝 赤胆忠心
尺牍 尺简
吮吸 吸取
泪如泉涌 潸然泪下
生活 生计
打点 照料
产业 物业
帮忙 襄助
长叹 长吁
耳提面命 谆谆告诫
大地回春 大地春回
咸集 聚会
初稿 底稿
断送 糟跶
悔之不及 悔之晚矣
铜驼荆棘 铜驼草莽
多愁善感 多愁多病
神色自如 面不改色
遐龄 高寿
报告 陈述
一双 一对
吃力不讨好 徒劳无益
从长计议 放长线钓大鱼
指责 责骂
杀身成仁 粉身碎骨
心情 神色
分崩离析 同室操戈
带累 连累
在意 留意
康乐 高兴
拦阻 阻碍
摧残 杀害
滑溜 滑熘
消逝 湮灭
万夫不当 锐不可当
败事 败露
目下 眼前
告成 成功
寂然 沉默
稀有 罕有
方士 术士
探讨 研商
耽搁 耽误
愤恨 痛恨
眉花眼笑 眉飞眼笑
分袂 分辨
精细 精美
分别 辞别
抄写 誊录
披星戴月 餐风饮露
冷笑 嘲笑
光荣 幸运
偷偷摸摸 别有用心
专家 众人
如意 快意
病弱 虚弱
够不上 达不到
荡漾 飘荡
一筹莫展 计无所出
冲动 激动
视人如子 视民如子
劝导 疏导
步行 走路
天台 晒台
抱恨终天 抱恨终身
心如火焚 心里如焚
片甲不回 片甲不归
小器 小气
发明 发觉
怏怏不乐 闷闷不乐
唇齿相依 辅车相依
得陇望蜀 欲壑难填
贯穿 链接
南辕北辙 相背而行
义务 负担
尺布斗粟 阋墙之祸
原先 本来
增添 推广
更名改姓 更姓改名
当代 现代
吐弃 唾弃
侵夺 劫夺
夤缘 谄媚
颜筋柳骨 颜骨柳筋
侵吞 侵陵
温席扇枕 温枕扇席
煮鹤烧琴 煮鹤焚琴
殒命 逝世
吴牛喘月 蜀犬吠日
糟塌 耗费
不才 在下
刻画入微 力透纸背
受难 遇难
势力 实力
放纵 狂放
荒谬 虚假
探访 调查
巴结 逢迎
瓦解冰消 荡然无存
归去来兮 归心如箭
公而忘私 杀身成仁
吵闹 斗嘴
一目了然 洞若观火
各有千秋 平分秋色
狗彘不知 男盗女娼
兴旺 畅旺
天壤之别 截然不同
危急 病笃
筹备 谋划
娉娉袅袅 娉婷袅娜
皈依 皈投
荫翳 阴翳
衰颓 颓废
事宜 得当
逍遥 随便
点睛之笔 画龙点睛
忍俊不禁 泣不成声
探望 调查
否决 阻挠
令行禁止 号令如山
击节称赏 拍桌惊叹
一贫如洗 家贫如洗
发愤 立志
观看 阅览
悲哀 愁闷
依葫芦画瓢 比葫芦画瓢
分量 重量
昏厥 昏迷
进退失据 进退无据
血脉相连 骨肉相连
悲哀 衰颓
神人 超人
便捷 简便
尊崇 尊敬
圆滑 狡滑
各执一词 莫衷一是
杰出 精采
刖趾适履 生搬硬套
冷眼旁观 漠不关心
古怪 奇异
好景不长 昙花一现
旅客 游客
万念俱灰 百无聊赖
争强斗狠 争强斗胜
不移至理 理所当然
选取 选择
推让 辞让
乘人之危 落井下石
兄弟阋墙 同室操戈
仰仗 衣服
唾弃 屏弃
激励 鼓励
出手得卢 旗开得胜
形容 描画
耗费 花费
入室操戈 操戈入室
冷静 平静
小心 贯注
揣摸 臆想
崇高 高超
碰壁 碰鼻
奔驰 疾驰
布局 组织
断章取义 望文生义
帮助 帮手
劳碌 辛苦
探求 查究
可有可无 无可不可
三反四覆 反复不定出尔反尔
不谋而合 不谋而同
机敏 灵活
声应气求 情投意合
扫除 排斥
名实相副 名符其实
苌弘化碧 血化为碧
生死与共 生死之交
惊惶失措 手忙脚乱
